ID,Description,File Name,Directory,Copyright,License List,URI DaSCH,Authorship,File Path,Time Stamp,File Size
MAT_001,xml file used for the import of data on DSP,daschland_data.xml,,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nandaschland_data.xml,,
MAT_002,csv file for Nodegoat import for Archive class,Archive.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Archive.csv,,0.0
MAT_003,csv file for Nodegoat import for Audio class,Audio.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Audio.csv,,0.03
MAT_004,csv file for Nodegoat import for Book class,Book.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Book.csv,,0.002
MAT_005,csv file for Nodegoat import for Book Chapter class,BookChapter.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/BookChapter.csv,,0.348
MAT_006,csv file for Nodegoat import for Book Edition class,BookEdition.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/BookEdition.csv,,0.002
MAT_007,csv file for Nodegoat import for Character class,Character.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Character.csv,,0.078
MAT_008,csv file for Nodegoat import for Documentation class,Documentation.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Documentation.csv,,0.001
MAT_009,csv file for Nodegoat import for Event class,Event.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Event.csv,,0.011
MAT_010,csv file for Nodegoat import for Image class,Image.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Image.csv,,0.026
MAT_011,csv file for Nodegoat import for Event Type list,List_Event_Type.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/List_Event_Type.csv,,0.002
MAT_012,csv file for Nodegoat import for License list class,List_License.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/List_License.csv,,0.0
MAT_013,csv file for Nodegoat import for Role list class,List_Role.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/List_Role.csv,,0.0
MAT_014,csv file for Nodegoat import for Location class,Location.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Location.csv,,0.007
MAT_015,csv file for Nodegoat import for Material class,Material.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Material.csv,,0.003
MAT_016,csv file for Nodegoat import for Region of Image class,Region.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Region.csv,,0.0
MAT_017,csv file for Nodegoat import for Video class,Video.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/Video.csv,,0.001
MAT_018,csv file for Nodegoat import for Segment of Video class,VideoSegment.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/VideoSegment.csv,,0.0
MAT_019,csv file for Nodegoat import for Segment of Audio class,AudioSegment.csv,nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",nodegoat/AudioSegment.csv,,0.001
