ID,File Name,Copyright,License List,Authorship,Directory,Description,Description Alternative,Book ID,Chapter ID,Character ID,Seqnum,Limited View,URI DaSCH,Authorship Resource,File Path,Time Stamp,File Size
I_001,IMG_1book0.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,King and Queen of Hearts sitting on their throne in court,,BK_001,BCH_001,"CH_017, CH_006, CH_002, CH_035, CH_037",1,no,"https://iiif.rdu-08.dasch.swiss:443/0854/09bjeoll0B7-7N2E7SyicMB.jpx/full/562,800/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book0.jpg,,0.2
I_002,IMG_1book1.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,White Rabbit looking at his watch,,BK_001,BCH_002,CH_002,2,no,"https://iiif.rdu-08.dasch.swiss/0854/5n3odOtpZvy-l88zTITXasW.jpx/full/473,724/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book1.jpg,,0.1
I_003,IMG_1book2.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice finding a little door,,BK_001,BCH_002,CH_001,3,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3G6seftrpZT-DPBfnGBVulI.jpx/full/563,579/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book2.jpg,,0.1
I_004,IMG_1book3.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,"Alice holding the ""Drink Me"" bottle",,BK_001,BCH_002,CH_001,4,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5vTb5Lyp8qW-RRh7Q1ljKUQ.jpx/full/489,696/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book3.jpg,,0.1
I_005,IMG_1book4.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice growing taller,,BK_001,BCH_003,CH_001,5,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0Fj9QbAQisd-igcE71wKj4K.jpx/full/559,1256/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book4.jpg,,0.2
I_006,IMG_1book5.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,White Rabbit skurrying away from Alice,,BK_001,BCH_003,"CH_002, CH_001",6,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3smOiqDQ9DN-sup6KNZyA2V.jpx/full/863,1015/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book5.jpg,,0.3
I_007,IMG_1book6.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice swimming in the Pool of tears,,BK_001,BCH_003,CH_001,7,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0pzUqRgVt0Y-L5tFvUUNlUi.jpx/full/602,494/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book6.jpg,,0.1
I_008,IMG_1book7.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice and the Mouse swimming in the Pool of tears,,BK_001,BCH_003,"CH_001, CH_014",8,no,"https://iiif.rdu-08.dasch.swiss:443/0854/1eEWop1EHTS-kOI3Wwa09Qq.jpx/full/864,574/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book7.jpg,,0.2
I_010,IMG_1book8.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Mouse telling its tale to Alice and creatures,,BK_001,BCH_004,"CH_014, CH_001, CH_015",9,no,"https://iiif.rdu-08.dasch.swiss:443/0854/1RYuDHP1557-2hazsP3NR7M.jpx/full/853,657/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book8.jpg,,0.2
I_009,IMG_1book9.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice accepting a thimble from Dodo,,BK_001,BCH_004,"CH_001, CH_015",10,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0rJGrIFZqlz-B4VYqLtkesr.jpx/full/793,906/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book9.jpg,,0.3
