ID,File Name,Description,Copyright,License List,URI DaSCH,Authorship,Authorship Resource,Time Stamp,File Size
DOC_001,DaSCHland_Data_Model.pdf,"Visualisations of the data model of project Alice in DaSCHland, with details of classes and properties",DaSCH,CC BY 4.0,https://app.rdu-08.dasch.swiss/resource/0854/pBVr6wmvTIORGGr0ut4Uxg,Noémi Villars-Amberg,"Daniela Subotic, Noémi Villars-Amberg",,0.8
DOC_002,DaSCHland_Data_Model_Links.pdf,"Visualisations of the data model, with links between the classes",DaSCH,CC BY 4.0,https://app.rdu-08.dasch.swiss/resource/0854/-HwOlsp4QJ-2ZgNr10MDDw,Noémi Villars-Amberg,"Daniela Subotic, Noémi Villars-Amberg",,0.2
DOC_003,DaSCHland_Data_Model_Legend.pdf,Legend to the Visualisations of the data model,DaSCH,CC BY 4.0,https://app.rdu-08.dasch.swiss/resource/0854/ZOIhp5PZTtujDK0-kWGM6Q,Noémi Villars-Amberg,"Daniela Subotic, Noémi Villars-Amberg",,0.2
DOC_004,DaSCHland FAQ.pdf,Frequent asked questions to the DaSCH project Alice in DaSCHland,DaSCH,CC BY 4.0,https://app.rdu-08.dasch.swiss/resource/0854/jI8CCsGYRfmgLqT5d6H1jA,Noémi Villars-Amberg,"Daniela Subotic, Noémi Villars-Amberg",,0.8
